circleWithVerticalBar U0233D
open U025B3
rightTriangle U025B7
leftTriangle U025C1
mediumLargeCircle U025CB
verticalBarInBox U025EB
orWithDotInside U027C7
andWithDot U027D1
lozengeDividedByHorizontalRule U027E0
whiteConcaveSidedDiamond U027E1
whiteConcaveSidedDiamondWithLeftwardsTick U027E2
whiteConcaveSidedDiamondWithRightwardsTick U027E3
whiteSquareWithLeftwardsTick U027E4
whiteSquareWithRightwardsTick U027E5
circleWithHorizontalBar U029B5
circledVerticalBar U029B6
cricledParallel U029B7
circledReverseSolidus U029B8
circledPerpendicular U029B9
circledLessThan U029C0
circledGreaterThan U029C1
squaredRisingDiagonalSlash U029C4
squaredFallingDiagonalSlash U029C5
squaredAsterisk U029C6
squaredSmallCircle U029C7
squaredSquare U029C8
triangleWithSerifsAtBottom U029CD
whiteHourglass U029D6
blackHourglass U029D7
shuffleProduct U029E2
blackLozenge U029EB
reverseSolidusOperator U029F5
solidusWithOverbar U029F6
reverseSolidusWithHorizontalStroke U029F7
doublePlus U029FA
triplePlus U029FB
tiny U029FE
miny U029FF
plusSignWithSmallCircleAbove U02A22
plusSignWithCircumflexAccentAbove U02A23
plusSignWithTildeAbove U02A24
plusSignWithDotBelow U02A25
plusSignWithTildeBelow U02A26
plusSignWithSubscriptTwo U02A27
plusSignWithBlackTriangle U02A28
minusSignWithCommaAbove U02A29
minusSignWithDotBelow U02A2A
minusSignWithFallingDots U02A2B
minusSignWithRisingDots U02A2C
plusSignInLeftHalfCircle U02A2D
plusSignInRightHalfCircle U02A2E
crossProduct U02A2F
multiplicationSignWithDotAbove U02A30
multiplicationSignWithUnderbar U02A31
semidirectProductWithBottomClosed U02A32
smashProduct U02A33
multiplicationSignInLeftHalfCircle U02A34
multiplicationSignInRightHalfCircle U02A35
circledMultiplicationSignWithCircumflexAccent U02A36
multiplicationSignInDoubleCircle U02A37
circledDivisionSign U02A38
plusSignInTriangle U02A39
minusSignInTriangle U02A3A
multiplicationSignInTriangle U02A3B
interiorProduct U02A3C
righthandInteriorProduct U02A3D
zNotationRelationalComposition U02A3E
amalgamationOrCoproduct U02A3F
intersectionWithDot U02A40
unionWithMinusSign U02A41
unionWithOverbar U02A42
intersectionWithOverbar U02A43
intersectionWithLogicalAnd U02A44
unionWithLogicalOr U02A45
unionAboveIntersection U02A46
intersectionAboveUnion U02A47
unionAboveBarAboveIntersection U02A48
intersectionAboveBarAboveUnion U02A49
unionBesideAndJoinedWithUnion U02A4A
intersectionBesideAndJoinedWithIntersection U02A4B
closedUnionWithSerifs U02A4C
closedIntersectionWithSerifs U02A4D
doubleSquareIntersection U02A4E
doubleSquareUnion U02A4F
closedUnionWithSerifsAndSmashProduct U02A50
logicalAndWithDotAbove U02A51
logicalOrWithDotAbove U02A52
doubleLogicalAnd U02A53
doubleLogicalOr U02A54
twoIntersectingLogicalAnd U02A55
twoIntersectingLogicalOr U02A56
slopingLargeOr U02A57
slopingLargeAnd U02A58
logicalAndWithMiddleStem U02A5A
logicalOrWithMiddleStem U02A5B
logicalAndWithHorizontalDash U02A5C
logicalOrWithHorizontalDash U02A5D
logicalAndWithDoubleOverbar U02A5E
logicalAndWithUnderbar U02A5F
logicalAndWithDoubleUnderbar U02A60
smallVeeWithUnderbar U02A61
logicalOrWithDoubleOverbar U02A62
logicalOrWithDoubleUnderbar U02A63
zNotatinDomainAntirestriction U02A64
zNotationRangeAntirestriction U02A65
equalsSignAbovePlusSign U02A71
plusSignAboveEqualsSign U02A72
tripleVerticalBarBinaryRelation U02AF4
tripleVerticalBarWithHorizontalStroke U02AF5
